id,title,priority,stream,owner_role,reviewer_role,start_date,due_date,dependency,status
PP-01,PRD v1 확정 (MVP scope + 제외 범위),P0,ProductPolicy,PO,Tech Lead,2026-02-23,2026-02-23,,Backlog
FE-01,페이지 구조/라우팅 맵 확정,P0,Frontend,FE,Tech Lead,2026-02-23,2026-02-23,PP-01,Backlog
DA-01,데이터 소스 인벤토리 작성,P0,Data,Data,PO,2026-02-23,2026-02-23,PP-01,Backlog
PP-02,사건 상태 모델 합의,P0,ProductPolicy,PO,Policy,2026-02-24,2026-02-24,PP-01,Backlog
PP-03,마스킹 정책 문서화,P0,ProductPolicy,Policy,Tech Lead,2026-02-24,2026-02-24,PP-01,Backlog
FE-02,상세 화면 컴포넌트 명세,P0,Frontend,FE,QA,2026-02-24,2026-02-24,FE-01,Backlog
DA-02,Ingest->Normalize 설계,P0,Data,Data,BE A,2026-02-24,2026-02-24,DA-01,Backlog
AR-01,도메인 ERD 확정,P0,ArchitectureAPI,Tech Lead + BE A,BE B,2026-02-25,2026-02-25,PP-02,Backlog
AR-02,API 계약서 v1 (REST/WS),P0,ArchitectureAPI,BE A,FE,2026-02-25,2026-02-25,AR-01,Backlog
AR-03,권한 모델 설계 (RBAC + 민감태그),P0,ArchitectureAPI,BE B,Policy,2026-02-25,2026-02-25,AR-01,Backlog
DA-03,Dedup 규칙/임계치 정의,P0,Data,Data + BE B,Tech Lead,2026-02-25,2026-02-25,DA-02,Backlog
PP-04,정정/이의신청 처리 SOP 작성,P0,ProductPolicy,Policy + PO,Ops/Admin,2026-02-25,2026-02-25,PP-03,Backlog
QA-01,테스트 전략 수립 (unit/integration/E2E),P0,QARelease,QA,Tech Lead,2026-02-26,2026-02-26,AR-02 + FE-02,Backlog
QA-02,DoR/DoD 최종 합의,P0,QARelease,QA + Tech Lead,PO,2026-02-26,2026-02-26,QA-01,Backlog
OP-01,환경 분리 정책 (dev/staging/prod),P0,DevOpsInfra,SRE,Tech Lead,2026-02-26,2026-02-26,,Backlog
OP-02,CI 파이프라인 구축,P0,DevOpsInfra,SRE,QA,2026-02-27,2026-02-27,QA-01,Backlog
OP-03,배포 파이프라인 + 롤백 준비,P0,DevOpsInfra,SRE,Tech Lead,2026-03-02,2026-03-02,OP-02,Backlog
